week,year,crop,doy,mean_ndvi,q25_ndvi,q75_ndvi,n_pixels
18,2012,wheat,226,0.7229373168945312,0.66,0.764,1092203
19,2012,wheat,233,0.7179356079101562,0.652,0.76,1092203
20,2012,wheat,240,0.722992431640625,0.656,0.772,1092203
21,2012,wheat,247,0.7135509643554687,0.648,0.76,1092203
22,2012,wheat,254,0.7050452880859375,0.644,0.744,1092203
23,2012,wheat,261,0.7082584838867187,0.652,0.752,1092203
24,2012,wheat,268,0.67759814453125,0.628,0.708,1092203
25,2012,wheat,275,0.687217041015625,0.644,0.716,1092203
26,2012,wheat,282,0.68831787109375,0.644,0.72,1092203
27,2012,wheat,289,0.6838358154296875,0.64,0.712,1092203
28,2012,wheat,296,0.672412353515625,0.632,0.7,1092203
29,2012,wheat,303,0.6790084228515625,0.636,0.716,1092203
